transferOtherBank_q;Перевод со вклада физ.лицу в коммерческом банке (ШЭСК);R;financial
typePaymentList_q;Получение списка типов платежа (ЦПФЛ);R;nonFinancial
XferAddRq;Платежные операции в шину, название типа операции у них у всех одинаковое;R;financial
CustInqRq  ;Получение данных по УДБО клиенту;R;nonFinancial
AcctInqRs;Получение остатка по вкладу, ОМС или карте;A;nonFinancial
BankAcctInqRs;Получение списка продуктов;A;nonFinancial
BankAcctStmtImgInqRs;Отправка отчета по счету карты на e-mail;A;nonFinancial
BankAcctStmtInqRs;Получение мини-выписки по ОМС;A;nonFinancial
CardAcctDInqRs;Получение детальной информации по карте ;A;nonFinancial
CCAcctExtStmtInqRs;Расширенная выписка по карте;A;nonFinancial
CurListInqRs;Загрузка курсов валют (из шины в ЕРИБ);A;nonFinancial
DepAcctStmtInqRs;Получение выписки по вкладу ;A;nonFinancial
LoanInqRs;Получение задолженности по кредиту ;A;nonFinancial
PfrHasInfoInqRs;Выписка с лицевого счета клиента в ПФР;A;nonFinancial
CustInqRs;Получение данных по УДБО клиенту;A;nonFinancial
AcctInfoRs;Детальная информация по вкладу;A;nonFinancial
LoanInfoRs;Получение информации по кредиту ;A;nonFinancial
BankAcctPermissModRs;Изменение видимости счетов в УКО;A;nonFinancial
CardBlockRs;Заявка на блокировку карты;A;nonFinancial
DepoClientRegRs;Регистрация клиента в Депозитарии;A;nonFinancial
LoanPaymentRs;"Получение графика платежей по кредиту (КЗ ""КФЛ"" СРБ)";A;nonFinancial
ServiceStmtRs;Получение графика исполнения регулярной операции;A;nonFinancial
SvcAcctAudRs;Получение информации по регулярной операции;A;nonFinancial
SvcAddRs;Создание регулярной операции на перевод денег с вклада физ. лицу;A;nonFinancial
XferAddRs;Платежные операции в шину, название типа операции у них у всех одинаковое;A;nonFinancial
DepoAccInfoRq;Получение изменяющихся данных по счетам депо;R;nonFinancial
DepoAccInfoRs;Получение изменяющихся данных по счетам депо;A;nonFinancial
DepoDeptsInfoRq;Получение расшифровки задолженности по счетам депо;R;nonFinancial
DepoDeptsInfoRs;Получение расшифровки задолженности по счетам депо;A;nonFinancial
DepoAccSecInfoRq;Получение информации о ценных бумагах хранящихся на счете депо;R;nonFinancial
DepoAccSecInfoRs;Получение информации о ценных бумагах хранящихся на счете депо;A;nonFinancial
DepoDeptCardPayRq;Погашения задолженности за депозитарное обслуживание со счета МБК или со счета вклада;R;nonFinancial
DepoDeptCardPayRs;Погашения задолженности за депозитарное обслуживание со счета МБК или со счета вклада;A;nonFinancial
PfrGetInfoInqRq;Получение выписки из ПФР;R;nonFinancial
PfrGetInfoInqRs;Получение выписки из ПФР;A;nonFinancial
BillingPayExecRq;Интерфейс проводки биллингового платежа;R;financial
BillingPayExecRs;Интерфейс проводки биллингового платежа;A;nonFinancial
BillingPayPrepRq;Интерфейс подготовки биллингового платежа к отправке;R;nonFinancial
BillingPayPrepRs;Интерфейс подготовки биллингового платежа к отправке;A;nonFinancial
accountBalance_a;Получение остатка по счету;A;nonFinancial
accountInfo_a;Получение детальной информации по счету;A;nonFinancial
billing_a;Получение расширенной выписки по счету;A;nonFinancial
confirmation_offline_a;Информация об исполнении операции (ЦОД);A;financial
refusal_t;Получение информации, что платеж не принят на обработку (ЦОД);A;nonFinancial
acknowledge_t;Получение информации, что платеж принят на обработку (ЦОД);A;nonFinancial
error_offline_a;Информация об отклонении платежа (ЦОД);A;nonFinancial
cancellationConfirmation_a;Информация об исполнении расторжения договора СБОЛ с клиентом;A;nonFinancial
refusalCancellation_a;Информация об отклонении расторжения договора СБОЛ с клиентом;A;nonFinancial
OperStatusResponse;Получение статуса операции (IQWave);A;nonFinancial
OfflineTicket;Получение информации, что операция принята на обработку (IQWave);A;nonFinancial
PaymentDebtsGkhResponse;Получение задолженности по поставщику ЕИРЦ г. Москвы (IQWave);A;nonFinancial
PaymentDebtsMgtsResponse;Получение задолженности по поставщику МГТС (IQWave);A;nonFinancial
PaymentDebtsFnsResponse;Получение задолженности по поставщику ФНС (не через сайт ФНС) (IQWave);A;nonFinancial
CardToCardResponse;Получение статуса платежа  для перевода с карты на карту (IQWave);A;nonFinancial
AutoPayRegisterResponse;Получение статуса заявки на регистрацию автоплатежа (IQWave);A;nonFinancial
AutoPayCorrectionResponse;Получение статуса заявки на редактирование автоплатежа (IQWave);A;financial
AutoPayCancelResponse;Получение статуса заявки на удаление автоплатежа (IQWave);A;nonFinancial
AutoPayReportResponse;Отчет об исполнении автоплатежа (IQWave);A;nonFinancial
AutoPayStateResponse;Получение статуса автоплатежа (IQWave);A;nonFinancial
AutoPayListResponse;Получение списка автоплатежей (IQWave);A;nonFinancial
ImaAcctInRs;Получение детальной информации по ОМС;A;nonFinancial
DepAcctExtRs;Получение выписки по вкладу;A;nonFinancial
