ID;EXTERNAL_ID;Успешных платежей за 180 дней
1170;555101@2031625|phiz-gate-gorod;19412
72824;126959774@127223468|urn:sbrfsystems:52-isppn;19353
81461;84097043@95272707|urn:sbrfsystems:55-isppn;19283
80750;84097023@95272866|urn:sbrfsystems:55-isppn;18992
68804;TTT33477@ASBC|phiz-gate-cpfl-dvb;18750
15219;12657651@73468582|gorod-altaj;18661
21525;630000004_63501_00_07@630000004|urn:sbrfsystems:40-cpfl;18654
33406;49423_43918_00_07@49423|urn:sbrfsystems:44-cpfl;18633
14854;555100@2033969|phiz-gate-gorod;18323
67263;49878_04501_00_01@49878|phiz-gate-cpfl-cchb;18211
28966;206@206|phiz-gate-iqwave;18068
72911;130247159@131037152|urn:sbrfsystems:52-isppn;18034
81454;165696-56@165696-56|urn:sbrfsystems:54-asbil;17987
60382;12337925813@12337919773|urn:sbrfsystems:49-ufo;17635
110768;FNS_INDEX@4562|urn:sbrfsystems:99-rbc;17576
72499;120026862@120427494|urn:sbrfsystems:52-isppn;17541
37200;3013943262@3013943260|urn:sbrfsystems:49-ufo;17530
19486;800000015_62661_00_07@800000015|urn:sbrfsystems:40-cpfl;17421
27834;SBOL_DFNP@SBOL_DFNP|urn:sbrfsystems:42-yenisei;17375
74054;682139@1107750|urn:sbrfsystems:52-isppn;17350
30111;193@193|phiz-gate-iqwave;17214
35408;KOMSTAR@KOMSTAR|urn:sbrfsystems:42-yenisei;17079
45128;66551196@66843451|urn:sbrfsystems:55-isppn;16992
491;KI_GKH@KI_GKH|phiz-gate-enisey;16620
41736;2000082_17700_00_07@2000082|urn:sbrfsystems:16-cpfl;16282
1372;731786@36148421|gorod-bajkal;16165
60704;10898826457@9530647362|urn:sbrfsystems:49-ufo;16077
78639;900_90001_00_05@900|urn:sbrfsystems:16-cpfl;16069
69751;83616537@83616566|urn:sbrfsystems:55-isppn;15739
17362;106@106|phiz-gate-iqwave;15730
68266;1001800_96200_00_07@1001800|urn:sbrfsystems:16-cpfl;15686
57267;KRV_RT@KRV_RT|urn:sbrfsystems:42-yenisei;15572
94401;12297083017@7646925335|urn:sbrfsystems:49-ufo;15567
731;93@93|phiz-gate-iqwave;15516
72879;129819308@129863547|urn:sbrfsystems:52-isppn;15514
72277;11147328@66724530|urn:sbrfsystems:52-isppn;15297
15218;12652612@73456643|gorod-altaj;15246
80032;800000200_62571_00_07@800000200|urn:sbrfsystems:40-cpfl;15156
45024;57645109@57645424|urn:sbrfsystems:55-isppn;15154
72498;120019223@120019890|urn:sbrfsystems:52-isppn;15011
28397;KRV_KESBK@KRV_KENSB|urn:sbrfsystems:42-yenisei;14963
41731;1847_98601_00_05@1847|urn:sbrfsystems:16-cpfl;14882
45619;83320036@83320278|urn:sbrfsystems:55-isppn;14716
220;149@149|phiz-gate-iqwave;14701
41308;CHV_CHNET@CHV_CHNET|urn:sbrfsystems:42-yenisei;14407
72440;117832266@133009136|urn:sbrfsystems:52-isppn;14046
37716;3187329871@3187329867|urn:sbrfsystems:49-ufo;13897
66192;6487570@118602698|phiz-gate-gorod;13720
33383;49066_40001_00_07@49066|urn:sbrfsystems:44-cpfl;13700
38835;7068180612@3014746564|urn:sbrfsystems:49-ufo;13664
101714;155549-46@155549-46|urn:sbrfsystems:54-asbil;13452
110766;EIRC@4561|urn:sbrfsystems:99-rbc;13439
69944;97319268@97321530|urn:sbrfsystems:55-isppn;13383
101371;150877-11@150877-11|urn:sbrfsystems:54-asbil;13070
32721;KVC@KVC|urn:sbrfsystems:40-yenisei;12955
72338;114898704@115739412|urn:sbrfsystems:52-isppn;12829
101421;151320-11@151320-11|urn:sbrfsystems:54-asbil;12812
39497;49012_23200_00_07@49012|urn:sbrfsystems:44-cpfl;12474
66572;13470381679@13454080599|urn:sbrfsystems:49-ufo;12422
29251;TAR_ENRGO@TAR_ENRGO|urn:sbrfsystems:42-yenisei;12384
62150;500034_07104_00_00@500034|urn:sbrfsystems:16-cpfl;12180
19485;800000003_62531_00_07@800000003|urn:sbrfsystems:40-cpfl;12117
81841;15013024880@15012987949|urn:sbrfsystems:49-ufo;12101
6703;OZON@189|phiz-gate-iqwave;12044
38834;7067006921@7066990348|urn:sbrfsystems:49-ufo;12028
28960;KRV_GAZP@KRV_GAZP|urn:sbrfsystems:42-yenisei;11986
14888;40025_60011_00_07@40025|urn:sbrfsystems:40-cpfl;11917
27414;395_00461_00_01@395|phiz-gate-cpfl-cchb;11707
73456;1416614@134464414|urn:sbrfsystems:52-isppn;11643
81455;165725-56@165725-56|urn:sbrfsystems:54-asbil;11455
45764;91079136@91079908|urn:sbrfsystems:55-isppn;11436
66247;3852941@114766374|phiz-gate-gorod;11391
76681;10363944047@9399950811|urn:sbrfsystems:49-ufo;11272
75600;96844748@96845183|urn:sbrfsystems:55-isppn;11153
89022;13470425291@13470032092|urn:sbrfsystems:49-ufo;11104
33039;MRL_ESB@MRL_ESB|urn:sbrfsystems:42-yenisei;11099
78238;60056618@60056903|gorod-bajkal;11060
70223;TAR_IPGRS@TAR_IPGRS|urn:sbrfsystems:42-yenisei;11013
77983;164616-48@164616-48|urn:sbrfsystems:54-asbil;10930
69965;98218494@98263475|urn:sbrfsystems:55-isppn;10908
1168;555103@2031640|phiz-gate-gorod;10838
39022;7881858575@3014762966|urn:sbrfsystems:49-ufo;10836
5800;101@113|phiz-gate-iqwave;10802
75115;2000054_17001_00_07@2000054|urn:sbrfsystems:16-cpfl;10562
102246;159541-69@159541-69|urn:sbrfsystems:54-asbil;10536
101383;151090-11@151090-11|urn:sbrfsystems:54-asbil;10454
26899;420068_15@NSK_4342|urn:sbrfsystems:42-yenisei;10354
33374;48646_45223_00_07@48646|urn:sbrfsystems:44-cpfl;10326
112261;Rostelecom@4517|urn:sbrfsystems:99-rbc;10308
72097;107379141@107686895|urn:sbrfsystems:52-isppn;10217
66589;13470439956@13470052300|urn:sbrfsystems:49-ufo;10175
101724;155594-46@155594-46|urn:sbrfsystems:54-asbil;10075
37797;3190060433@3190060429|urn:sbrfsystems:49-ufo;10037
75232;126700569@135738908|urn:sbrfsystems:52-isppn;9928
77916;3839182@4721754|gorod-bajkal;9927
82452;10405878398@9399950731|urn:sbrfsystems:49-ufo;9896
6013;111@111|phiz-gate-iqwave;9889
52798;660646016_64041_00_07@660646016|urn:sbrfsystems:40-cpfl;9883
22532;630000005_63511_00_07@630000005|urn:sbrfsystems:40-cpfl;9878
47545;CHV_GZPRM@CHV_GZPRM|urn:sbrfsystems:42-yenisei;9831
94734;10666197337@9737830316|urn:sbrfsystems:49-ufo;9736
14885;40022_60141_00_07@40022|urn:sbrfsystems:40-cpfl;9707
72489;119486758@119946504|urn:sbrfsystems:52-isppn;9690
45638;84097052@89634218|urn:sbrfsystems:55-isppn;9597
55008;160310161@160310605|phiz-gate-gorod;9571
66609;13470490850@13470269185|urn:sbrfsystems:49-ufo;9535
26890;1Z42_003@OAO_NSK42|urn:sbrfsystems:42-yenisei;9525
50596;1788_98701_00_05@1788|urn:sbrfsystems:16-cpfl;9518
40316;MRL_MRG@MRL_MRG|urn:sbrfsystems:42-yenisei;9435
44567;47527274@47527406|urn:sbrfsystems:55-isppn;9385
38772;6802604988@6802599873|urn:sbrfsystems:49-ufo;9320
35488;151835268@151835466|phiz-gate-gorod;9256
93298;13470435836@13406792076|urn:sbrfsystems:49-ufo;9245
732;91@91|phiz-gate-iqwave;9212
66579;13470412436@13470019413|urn:sbrfsystems:49-ufo;9186
99851;123631-56@123631-56|urn:sbrfsystems:54-asbil;9126
33198;150963087@150974554|phiz-gate-gorod;9064
6052;16@16|phiz-gate-iqwave;8943
56934;11199363809@7646925335|urn:sbrfsystems:49-ufo;8932
6054;96@96|phiz-gate-iqwave;8918
5748;3180947@760401001|phiz-gate-gorod-sb;8867
75291;2199400@135727611|urn:sbrfsystems:52-isppn;8682
35168;36606_78005_00_01@36606|urn:sbrfsystems:44-cpfl;8682
19315;660640018_64271_00_07@660640018|urn:sbrfsystems:40-cpfl;8548
104664;87951-54@87951-54|urn:sbrfsystems:54-asbil;8502
41717;AVSTK2@ASBC|phiz-gate-cpfl-dvb;8478
107947;49131_41301_00_07@49131|urn:sbrfsystems:44-cpfl;8460
24575;15001_50501_00_01@15001|phiz-gate-cpfl-cchb;8385
26895;1Z42_008@OAO_NSK42|urn:sbrfsystems:42-yenisei;8339
29792;SBOL_ERK1@SBOL_ERKC|urn:sbrfsystems:42-yenisei;8321
3297;2650112@760601001|phiz-gate-gorod-sb;8316
14893;40030_60151_00_07@40030|urn:sbrfsystems:40-cpfl;8235
112877;GTSR8635@ASBC|phiz-gate-cpfl-dvb;8206
54176;12163722188@8470534566|urn:sbrfsystems:49-ufo;8203
68960;107763477@107764484|urn:sbrfsystems:55-isppn;8194
66595;13470449266@13470150816|urn:sbrfsystems:49-ufo;8177
15839;GTSRDK70@ASBC|phiz-gate-cpfl-dvb;8165
50699;SIB3@3102_SIBT|phiz-gate-enisey;8147
75158;11162917@133759230|urn:sbrfsystems:52-isppn;8080
80907;59143704@128965444|phiz-gate-gorod;8035
110774;NKS@2744|urn:sbrfsystems:99-rbc;7934
43821;3014728004@3014725918|urn:sbrfsystems:49-ufo;7930
99852;123632-56@123632-56|urn:sbrfsystems:54-asbil;7922
95108;15215937302@9399948841|urn:sbrfsystems:49-ufo;7916
29417;KRV_RICKR@KRV_RICKR|urn:sbrfsystems:42-yenisei;7854
92298;3190067252@3190067248|urn:sbrfsystems:49-ufo;7851
104270;81395-54@81395-54|urn:sbrfsystems:54-asbil;7823
81696;600095_98901_00_05@600095|urn:sbrfsystems:16-cpfl;7822
41716;AVSTK1@ASBC|phiz-gate-cpfl-dvb;7820
52457;TAR_GAI@GAI_TAT|urn:sbrfsystems:42-yenisei;7731
77115;374950@118589138|phiz-gate-gorod;7721
79642;142877760@142877795|phiz-gate-gorod;7691
76328;96493561@135723371|urn:sbrfsystems:52-isppn;7564
77912;3684685@4218226|gorod-bajkal;7535
185;6471468@15271529|phiz-gate-gorod;7527
33390;49130_33301_00_07@49130|urn:sbrfsystems:44-cpfl;7421
29334;DEK4140@ASBC|phiz-gate-cpfl-dvb;7413
80213;26904965@33721025|gorod-bajkal;7408
67261;49005_00811_00_01@49005|phiz-gate-cpfl-cchb;7377
28874;4006_00444_00_01@4006|phiz-gate-cpfl-cchb;7255
45134;67029828@67030351|urn:sbrfsystems:55-isppn;7163
76819;138770231@145276889|phiz-gate-gorod;7090
15262;2985742@73457083|gorod-altaj;7067
73789;3967927@5934516|urn:sbrfsystems:52-isppn;7057
70323;11944656@35151556|urn:sbrfsystems:55-isppn;7042
27300;630000127_63551_00_07@630000127|urn:sbrfsystems:40-cpfl;7040
38581;5559075080@3014756115|urn:sbrfsystems:49-ufo;7030
103;98762875@98763270|phiz-gate-gorod;7000
44807;51405716@51405908|urn:sbrfsystems:55-isppn;6991
78022;18453473@20372300|gorod-bajkal;6960
68983;108220727@108220867|urn:sbrfsystems:55-isppn;6926
67668;8658606912@8658578953|urn:sbrfsystems:49-ufo;6914
725;301@91|phiz-gate-iqwave;6851
45425;76166884@76167242|urn:sbrfsystems:55-isppn;6835
104977;90907-54@90907-54|urn:sbrfsystems:54-asbil;6831
52665;391_95811_00_05@391|urn:sbrfsystems:16-cpfl;6824
28668;191@191|phiz-gate-iqwave;6824
73038;132521236@132521525|urn:sbrfsystems:52-isppn;6797
26893;1Z42_006@OAO_NSK42|urn:sbrfsystems:42-yenisei;6696
26888;1Z42_001@OAO_NSK42|urn:sbrfsystems:42-yenisei;6687
104528;86594-54@86594-54|urn:sbrfsystems:54-asbil;6681
214;106@114|phiz-gate-iqwave;6681
73598;21100138@126532332|urn:sbrfsystems:52-isppn;6673
69846;91086807@91089914|urn:sbrfsystems:55-isppn;6654
262;151@151|phiz-gate-iqwave;6630
109175;89674684@95231799|urn:sbrfsystems:55-isppn;6627
80961;33365@925478|gorod-bajkal;6557
33411;49443_44801_00_07@49443|urn:sbrfsystems:44-cpfl;6547
104618;87572-54@87572-54|urn:sbrfsystems:54-asbil;6547
112264;UVO_GUVD@21|urn:sbrfsystems:99-rbc;6513
115771;10746104376@3795466840|urn:sbrfsystems:49-ufo;6467
72978;132051972@135512280|urn:sbrfsystems:52-isppn;6456
101273;148348-11@148348-11|urn:sbrfsystems:54-asbil;6384
110769;FNS_INN@4562|urn:sbrfsystems:99-rbc;6161
14886;40023_60051_00_07@40023|urn:sbrfsystems:40-cpfl;6118
598;121685961@129172295|phiz-gate-gorod;6098
14735;GAZS@GAZ|urn:sbrfsystems:40-yenisei;6031
305;25@25|phiz-gate-iqwave;5970
81034;44984877@45125853|gorod-bajkal;5952
65739;30383_52230_00_01@30383|phiz-gate-cpfl-cchb;5919
728;401@93|phiz-gate-iqwave;5910
101440;151379-11@151379-11|urn:sbrfsystems:54-asbil;5866
72994;132113610@132113994|urn:sbrfsystems:52-isppn;5820
99742;121545-48@121545-48|urn:sbrfsystems:54-asbil;5715
44346;38440123@38449874|urn:sbrfsystems:55-isppn;5713
115847;6747873757@4198276679|urn:sbrfsystems:49-ufo;5650
81120;60275821@60277844|gorod-bajkal;5648
33197;150963084@150974371|phiz-gate-gorod;5641
70062;47681_34960_00_07@47681|urn:sbrfsystems:44-cpfl;5606
44317;34218554@37081420|urn:sbrfsystems:55-isppn;5584
26889;1Z42_002@OAO_NSK42|urn:sbrfsystems:42-yenisei;5581
82098;VLNK8635@ASBC|phiz-gate-cpfl-dvb;5573
45735;89884170@89884472|urn:sbrfsystems:55-isppn;5518
44310;308238@51478536|urn:sbrfsystems:55-isppn;5482
14879;40190_60971_00_07@40190|urn:sbrfsystems:40-cpfl;5466
99853;123633-56@123633-56|urn:sbrfsystems:54-asbil;5448
15823;DEK28635@ASBC|phiz-gate-cpfl-dvb;5420
68744;2000171_17041_00_07@2000171|urn:sbrfsystems:16-cpfl;5341
109659;169334-11@169334-11|urn:sbrfsystems:54-asbil;5296
37124;10443878794@10443853366|urn:sbrfsystems:49-ufo;5293
26892;1Z42_005@OAO_NSK42|urn:sbrfsystems:42-yenisei;5290
1032;130079976@130888999|phiz-gate-gorod;5277
102863;163496-48@163496-48|urn:sbrfsystems:54-asbil;5246
729;92@92|phiz-gate-iqwave;5196
102868;163514-48@163514-48|urn:sbrfsystems:54-asbil;5191
78797;30016_52248_00_01@30016|phiz-gate-cpfl-cchb;5190
64852;4125_00847_00_01@4125|phiz-gate-cpfl-cchb;5185
45639;84097062@95272978|urn:sbrfsystems:55-isppn;5178
44260;25413264@51448477|urn:sbrfsystems:55-isppn;5172
68964;107769945@107770055|urn:sbrfsystems:55-isppn;5166
92169;47141_26301_00_07@47141|urn:sbrfsystems:44-cpfl;5161
53791;000001_08@TCIFRAL|urn:sbrfsystems:42-yenisei;5152
96116;7130594913@7130578777|urn:sbrfsystems:49-ufo;5137
54192;8470782388@8470534566|urn:sbrfsystems:49-ufo;5124
15260;28454626@73458997|gorod-altaj;5078
81284;35265746@55957955|gorod-bajkal;5060
75218;123191911@133055377|urn:sbrfsystems:52-isppn;5046
102870;163517-48@163517-48|urn:sbrfsystems:54-asbil;5035
78668;26905390@27959363|gorod-bajkal;5028
102869;163516-48@163516-48|urn:sbrfsystems:54-asbil;5021
72958;131861866@131895902|urn:sbrfsystems:52-isppn;5015
33341;37697_78006_00_01@37697|urn:sbrfsystems:44-cpfl;5014
12014;968098@968134|phiz-gate-cpfl-skb;4961
70090;109650720@109650836|urn:sbrfsystems:55-isppn;4954
73435;1381147@6877180|urn:sbrfsystems:52-isppn;4948
74621;12862_21001_00_07@12862|urn:sbrfsystems:44-cpfl;4935
68968;107867005@107867044|urn:sbrfsystems:55-isppn;4927
39184;9387216754@9387194237|urn:sbrfsystems:49-ufo;4921
44012;9791575053@9771631743|urn:sbrfsystems:49-ufo;4910
44030;MOU8635@ASBC|phiz-gate-cpfl-dvb;4907
26411;800000044_62551_00_07@800000044|urn:sbrfsystems:40-cpfl;4893
70166;25427_51725_00_01@25427|phiz-gate-cpfl-cchb;4886
71379;73208819@73208878|urn:sbrfsystems:55-isppn;4861
70978;48128_39528_00_07@48128|urn:sbrfsystems:44-cpfl;4858
45255;73094885@73095078|urn:sbrfsystems:55-isppn;4829
66576;13470398958@13469988391|urn:sbrfsystems:49-ufo;4819
98836;15381511232@3729565228|urn:sbrfsystems:49-ufo;4804
29250;TAR_GKH@TAR_GKH|urn:sbrfsystems:42-yenisei;4783
44839;51799469@57154415|urn:sbrfsystems:55-isppn;4769
107979;118163279@118163352|urn:sbrfsystems:55-isppn;4710
73983;63408316@63416996|urn:sbrfsystems:52-isppn;4659
91369;13189775411@3187329867|urn:sbrfsystems:49-ufo;4640
70400;53487313@53702717|urn:sbrfsystems:55-isppn;4639
72842;12807348@126538950|urn:sbrfsystems:52-isppn;4636
14892;40029_60061_00_07@40029|urn:sbrfsystems:40-cpfl;4562
72574;121401416@133056184|urn:sbrfsystems:52-isppn;4535
337;KGAZ@3102_KGAZ|phiz-gate-enisey;4507
324;MPGJKU@3113_GJKU|phiz-gate-enisey;4480
73455;1404875@134464578|urn:sbrfsystems:52-isppn;4480
68174;30138_52297_00_01@30138|phiz-gate-cpfl-cchb;4475
31772;1728_00434_00_01@1728|phiz-gate-cpfl-cchb;4450
43513;10574079928@10316484622|urn:sbrfsystems:49-ufo;4445
69966;98218495@98263503|urn:sbrfsystems:55-isppn;4440
28877;VLD_RGGAZ@KP0009_81|urn:sbrfsystems:42-yenisei;4413
69975;98599568@98599836|urn:sbrfsystems:55-isppn;4411
45723;8966679@48199504|urn:sbrfsystems:55-isppn;4380
60450;158352-54@158352-54|urn:sbrfsystems:54-asbil;4372
189;27967344@28357484|phiz-gate-gorod;4371
40429;8098022367@3187319346|urn:sbrfsystems:49-ufo;4350
67779;30985_52284_00_01@30985|phiz-gate-cpfl-cchb;4305
73943;62675752@62675985|urn:sbrfsystems:52-isppn;4286
70976;49942_32961_00_07@49942|urn:sbrfsystems:44-cpfl;4285
29790;SBOL_DVK1@SBOL_DVK|urn:sbrfsystems:42-yenisei;4280
51847;9959566793@9917920444|urn:sbrfsystems:49-ufo;4265
44300;29026522@48651287|urn:sbrfsystems:55-isppn;4250
70671;MRL_ERT@MRL_ERT|urn:sbrfsystems:42-yenisei;4249
98932;15548709238@14881380199|urn:sbrfsystems:49-ufo;4248
14759;ESET7718@ASBC|phiz-gate-cpfl-dvb;4228
110753;Credit_OTP@4547|urn:sbrfsystems:99-rbc;4224
50589;1000418_96111_00_05@1000418|urn:sbrfsystems:16-cpfl;4220
75211;122701682@132781136|urn:sbrfsystems:52-isppn;4207
52623;463@463|phiz-gate-iqwave;4200
5796;61814@760401001|phiz-gate-gorod-sb;4192
44555;47268664@47269369|urn:sbrfsystems:55-isppn;4172
115883;7194662483@4198276679|urn:sbrfsystems:49-ufo;4158
77296;VTK0_8611@VTK0_8611|urn:sbrfsystems:42-yenisei;4154
50598;1833_98501_00_05@1833|urn:sbrfsystems:16-cpfl;4143
44535;46843282@46843501|urn:sbrfsystems:55-isppn;4137
33347;40599_78004_00_01@40599|urn:sbrfsystems:44-cpfl;4130
90584;660640112_61651_00_07@660640112|urn:sbrfsystems:40-cpfl;4117
99115;113544-69@113544-69|urn:sbrfsystems:54-asbil;4083
26894;1Z42_007@OAO_NSK42|urn:sbrfsystems:42-yenisei;4077
100952;137877-11@137877-11|urn:sbrfsystems:54-asbil;4074
14875;GUVD_KR@3102_GUVD|phiz-gate-enisey;4007
104899;90517-54@90517-54|urn:sbrfsystems:54-asbil;3998
50855;TTT33388@ASBC|phiz-gate-cpfl-dvb;3990
66618;13470499397@13470304144|urn:sbrfsystems:49-ufo;3984
30567;!FSS_KR@3102_FSSK|phiz-gate-enisey;3970
5807;5807_5807_101@101|phiz-gate-iqwave;3968
56953;AT42051@ASBC|phiz-gate-cpfl-dvb;3938
69968;98218532@98263541|urn:sbrfsystems:55-isppn;3933
46748;MRL_VK@MRL_VK|urn:sbrfsystems:42-yenisei;3927
40819;TAR_S_CRD@TAR_S_CRD|urn:sbrfsystems:42-yenisei;3875
68963;107766084@107769882|urn:sbrfsystems:55-isppn;3867
50212;20287_53121_00_01@20287|phiz-gate-cpfl-cchb;3835
75620;14391858361@3190060429|urn:sbrfsystems:49-ufo;3824
45164;71104417@71108717|urn:sbrfsystems:55-isppn;3813
80080;14952560@56258536|gorod-bajkal;3789
41760;957_95702_00_05@957|urn:sbrfsystems:16-cpfl;3784
82034;1689_07360_00_01@1689|phiz-gate-cpfl-cchb;3784
44550;47252213@47253580|urn:sbrfsystems:55-isppn;3782
38239;3435543091@3014766035|urn:sbrfsystems:49-ufo;3764
66567;13470363978@13469256640|urn:sbrfsystems:49-ufo;3756
29327;AAMUPR92@ASBC|phiz-gate-cpfl-dvb;3753
28959;UFNS_IND@UFNS_IND|urn:sbrfsystems:42-yenisei;3736
82611;15173902277@9399950587|urn:sbrfsystems:49-ufo;3733
70292;108221722@108222144|urn:sbrfsystems:55-isppn;3725
45587;81816925@81818664|urn:sbrfsystems:55-isppn;3720
99741;121544-48@121544-48|urn:sbrfsystems:54-asbil;3707
68931;107115802@107118367|urn:sbrfsystems:55-isppn;3701
81409;15575846@16915403|gorod-bajkal;3688
73774;3801858@5903579|urn:sbrfsystems:52-isppn;3681
28794;MUPK8567@ASBC|phiz-gate-cpfl-dvb;3662
